,date,place,one_unit_bldgs,one_unit_units,one_unit_value,two_unit_bldgs,two_unit_units,two_unit_value,three_unit_bldgs,three_unit_units,three_unit_value,five_unit_bldgs,five_unit_units,five_unit_value,medium,large,large21,control,pop_19,treatment,period
0,2017-01-01,Albany,193,193,48233981,0,0,0,0,0,0,4,48,4765529,0,1,1,0,54120,Large,-4
1,2017-01-01,Ashland,54,54,10727400,0,0,0,0,0,0,0,0,0,1,0,0,0,20960,Medium,-4
2,2017-01-01,Astoria,5,5,1513939,0,0,0,0,0,0,2,30,3207752,0,0,0,1,9690,Control,-4
3,2017-01-01,Baker City,22,22,5103533,0,0,0,0,0,0,0,0,0,0,0,0,1,9965,Control,-4
4,2017-01-01,Beaverton,27,27,8390263,0,0,0,0,0,0,7,539,70200600,0,1,0,0,98255,Large,-4
5,2017-01-01,Bend,946,946,234034546,26,52,7033136,0,0,0,7,214,32379771,0,1,1,0,91385,Large,-4
6,2017-01-01,Boardman,7,7,1114449,0,0,0,0,0,0,0,0,0,0,0,0,1,4505,Control,-4
7,2017-01-01,Brookings,10,10,2508097,0,0,0,0,0,0,0,0,0,0,0,0,1,6645,Control,-4
8,2017-01-01,Brownsville,1,1,200000,0,0,0,0,0,0,0,0,0,0,0,0,1,1720,Control,-4
9,2017-01-01,Cannon Beach,7,7,2616404,0,0,0,0,0,0,0,0,0,0,0,0,1,1730,Control,-4
10,2017-01-01,Central Point,32,32,6644367,2,4,479050,0,0,0,2,12,634345,1,0,0,0,18365,Medium,-4
11,2017-01-01,Clatskanie,4,4,790000,0,0,0,0,0,0,0,0,0,0,0,0,1,1775,Control,-4
12,2017-01-01,Coburg,11,11,3541099,0,0,0,0,0,0,0,0,0,0,0,0,1,1295,Control,-4
13,2017-01-01,Columbia City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1985,Control,-4
14,2017-01-01,Coos Bay,15,15,4014124,0,0,0,0,0,0,0,0,0,1,0,0,0,16700,Medium,-4
15,2017-01-01,Cornelius,2,2,363733,0,0,0,0,0,0,1,45,4251929,0,1,0,0,12225,Large,-4
16,2017-01-01,Corvallis,59,59,16087384,2,4,800000,2,7,1244470,0,0,0,0,1,0,0,58885,Large,-4
17,2017-01-01,Cottage Grove,47,47,6769870,0,0,0,0,0,0,0,0,0,1,0,0,0,10140,Medium,-4
18,2017-01-01,Creswell,32,32,2546119,0,0,0,0,0,0,0,0,0,0,0,0,1,5510,Control,-4
19,2017-01-01,Dallas,109,109,26117185,1,2,574096,0,0,0,0,0,0,1,0,0,0,16260,Medium,-4
20,2017-01-01,Dayton,10,10,2053100,0,0,0,0,0,0,0,0,0,0,0,0,1,2740,Control,-4
21,2017-01-01,Depoe Bay,4,4,1345000,0,0,0,0,0,0,0,0,0,0,0,0,1,1445,Control,-4
22,2017-01-01,Dundee,5,5,1555219,0,0,0,0,0,0,0,0,0,0,0,0,1,3235,Control,-4
23,2017-01-01,Dunes City,8,8,2446312,0,0,0,0,0,0,0,0,0,0,0,0,1,1345,Control,-4
24,2017-01-01,Durham,1,1,521774,0,0,0,0,0,0,0,0,0,0,1,0,0,1885,Large,-4
25,2017-01-01,Eagle Point,95,95,23971929,0,0,0,0,0,0,0,0,0,0,0,0,1,9260,Control,-4
26,2017-01-01,Estacada,55,55,15089082,0,0,0,0,0,0,0,0,0,0,0,0,1,3725,Control,-4
27,2017-01-01,Florence,38,38,8403323,0,0,0,1,4,429792,0,0,0,0,0,0,1,8850,Control,-4
28,2017-01-01,Forest Grove,90,90,27603150,1,2,409043,0,0,0,6,82,7856547,0,1,0,0,25180,Large,-4
29,2017-01-01,Gearhart,37,37,8708703,0,0,0,0,0,0,0,0,0,0,0,0,1,1525,Control,-4
30,2017-01-01,Happy Valley,154,154,53567551,0,0,0,0,0,0,2,71,10832422,0,1,0,0,21700,Large,-4
31,2017-01-01,Harrisburg,2,2,428707,0,0,0,0,0,0,0,0,0,0,0,0,1,3680,Control,-4
32,2017-01-01,Hermiston,77,77,14776867,0,0,0,0,0,0,0,0,0,1,0,0,0,18415,Medium,-4
33,2017-01-01,Hood River,21,21,6555089,12,24,5168142,0,0,0,0,0,0,0,0,0,1,8305,Control,-4
34,2017-01-01,Independence,4,4,1650245,3,6,1015284,0,0,0,0,0,0,0,0,0,1,9530,Control,-4
35,2017-01-01,Irrigon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2030,Control,-4
36,2017-01-01,Jacksonville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3015,Control,-4
37,2017-01-01,Junction City,18,18,4369235,0,0,0,0,0,0,0,0,0,0,0,0,1,6170,Control,-4
38,2017-01-01,Keizer,32,32,8676740,1,2,364632,0,0,0,2,11,1306815,0,1,0,0,38580,Large,-4
39,2017-01-01,King City,13,13,3863634,0,0,0,0,0,0,2,20,2525116,0,1,1,0,4190,Large,-4
