,place,medium,large,control,zhvi_2312,treatment,pop_19,pop_growth,under_eighteen_2022,white_2022,black_2022,hisp_2022,race_other_2022,median_income_2022,pct_renter_2022,bach_edu_2022,one_unit_bldgs,one_unit_units,two_unit_bldgs,two_unit_units,three_unit_bldgs,three_unit_units,five_unit_bldgs,five_unit_units,one_unit_bldgs_21,two_unit_bldgs_21,three_unit_bldgs_21,five_unit_bldgs_21,one_unit_bldgs_20,two_unit_bldgs_20,three_unit_bldgs_20,five_unit_bldgs_20,large21
0,Beaverton,0,1,0,529628.309330871,Large,98255,1.0292527723720384,20.0,60.6,2.6,17.4,19.4,111656.0,49.735371949426636,48.3,3.063457330415755,3.063457330415755,0.0,0.0,0.0,0.0,0.01017759910437128,0.2951503740267671,1.1195359014808408,0.0,0.0,0.0,1.3230878835682662,0.0,0.0,0.18319678387868302,0
1,Bend,0,1,0,712134.2979990771,Large,91385,2.1204355254394347,20.8,83.4,0.4,9.0,7.199999999999996,105957.0,38.75827382505753,48.4,6.773540515401871,6.773540515401871,0.5033648848279257,1.0067297696558515,0.03282814466269081,0.12036986376319965,0.2407397275263993,9.760901679706734,8.174208021010012,0.3173387317393445,0.0,0.25168244241396287,7.13465010669147,0.634677463478689,0.0,0.06565628932538162,1
2,Medford,0,1,0,386517.88928693096,Large,81465,0.9609970066091699,22.6,74.8,0.9,16.6,7.700000000000003,80396.0,45.27207196647816,28.4,3.9526176885779165,3.9526176885779165,0.049100840851899585,0.09820168170379917,0.03682563063892469,0.14730252255569876,0.46645798809304606,5.9657521635058,3.903516847726017,0.08592647149082427,0.0,0.049100840851899585,3.2529307064383475,0.024550420425949793,0.0,0.024550420425949793,0
3,Springfield,0,1,0,393007.39871620666,Large,61355,0.36086570373486654,21.2,76.1,0.8,13.6,9.500000000000005,67580.0,46.04816486281401,20.7,3.357509575421726,3.357509575421726,0.03259718034390025,0.0651943606878005,0.0,0.0,0.0,0.0,3.7975715100643797,0.04889577051585038,0.0,0.016298590171950126,1.4668731154755115,0.016298590171950126,0.016298590171950126,0.19558308206340153,0
4,Corvallis,0,1,0,520350.13671101537,Large,58885,0.9028032806953116,13.0,74.4,1.6,8.7,15.299999999999994,101333.0,58.95129533678757,60.4,1.1717754946081345,1.1717754946081345,0.10189352127027257,0.20378704254054514,0.016982253545045428,0.06792901418018171,0.20378704254054514,4.3814214146217205,2.4454445104865417,0.016982253545045428,0.050946760635136285,0.0,0.9000594378874077,0.0,0.0,0.033964507090090856,0
5,Tigard,0,1,0,600224.2986608838,Large,53450,1.238418705667614,20.2,70.4,1.2,11.8,16.599999999999994,125216.0,37.84180992250824,47.9,5.781103835360149,5.781103835360149,0.0,0.0,0.0,0.0,0.07483629560336763,5.088868101028999,3.9850327408793262,0.0,0.0,0.037418147801683815,2.5070159027128156,0.0,0.0,0.07483629560336763,0
6,Albany,0,1,0,408021.1375796157,Large,54120,0.8378870673952641,25.1,78.1,0.5,14.1,7.300000000000006,83786.0,39.81567678272202,28.4,1.4966740576496675,1.4966740576496675,0.05543237250554324,0.11086474501108648,0.018477457501847747,0.07390983000739099,0.0,0.0,2.032520325203252,0.0,0.0,0.0,3.4737620103473765,0.018477457501847747,0.018477457501847747,0.07390983000739099,1
7,Oregon City,0,1,0,579627.3945547427,Large,35570,1.2415134309180254,21.9,87.7,0.6,4.9,6.799999999999997,106291.0,34.71960585422403,30.2,2.2771998875456845,2.2771998875456845,0.0,0.0,0.028113578858588697,0.11245431543435479,0.11245431543435479,6.438009558616812,1.4337925217880236,0.0,0.0843407365757661,0.0,2.417767781838628,0.0,0.0,0.0,0
8,Milwaukie,0,1,0,494109.8498668361,Large,20535,0.13416570834017852,18.1,78.2,1.2,10.1,10.499999999999998,102839.0,41.417187163471894,38.3,0.9252495738982225,0.9252495738982225,0.09739469198928659,0.19478938397857318,0.0,0.0,0.0,0.0,1.8018018018018018,0.0,0.0,0.2921840759678597,1.8991964937910883,0.0,0.0,0.0,0
9,Lake Oswego,0,1,0,861562.7377579291,Large,39115,0.7573481890093485,22.7,78.3,1.1,4.8,15.8,166154.0,29.89368730854706,73.0,0.5368784353828454,0.5368784353828454,0.0,0.0,0.07669691934040648,0.30678767736162593,0.0,0.0,1.2015850696663684,0.0,0.0,0.0,1.6362009459286717,0.0,0.0,0.0,0
